Уровень 1;Уровень 2;Уровень 3;Уровень 4;Уровень 5;Классификатор;Единицы измерения
3100;;;;;5.2.  Общестроительные работы ;
3101;;;;;Земляные работы;
3102;;;;;Ограждение котлована;
3103;;;;;      Сваи;
;3103.1;;;;Свая забивная;
;;3103.1.1;;;Свая забивная квадратная;шт.
;;3103.1.2;;;Свая забивная круглая;шт.
;3103.2;;;;Свая винтовая;шт.
;3103.3;;;;Свая монолитная;
;;3103.3.1;;;Свая монолитная круглая;м3
;;3103.3.2;;;Свая монолитная квадратная;м3
3104;;;;;Пластовый и пристенный дренаж;
3105;;;;;Несущие конструкции;
31051;;;;;       Фундамент;
;31051.1;;;;Устройство оснований;
;;31051.1.1;;;Песчаные основания;м3
;;31051.1.2;;;Щебеночные основания;м3
;;31051.1.3;;;Гравийные основания;м3
;31051.2;;;;Бетонная подготовка;
;;31051.2.1;;;Бетонная подготовка под монолитную плиту;м3
;;31051.2.2;;;Бетонная подготовка под ростверк;м3
;31051.3;;;;Монолитные фундаменты;
;;31051.3.1;;;Монолитная фундаментная плита;м3
;;31051.3.2;;;Ростверк фундаментной плиты;м3
;;31051.3.3;;;Приямок в фундаментной плите;м3
;;31051.3.4;;;Ростверк свайный;м3
;31051.4;;;;Сборные фундаменты;
;;31051.4.1;;;Столбчатые сборные фундаменты;
;;;31051.4.1.1;;Столбчатый сборный фундамент стаканного типа с подколонником;шт.
;;31051.4.2;;;Ленточные сборные фундаменты;
;;;31051.4.2.1;;Фундаментная плита ФП;шт.
;;;31051.4.2.2;;Фундаментный блок стеновой ФБС;шт.
;31051.5;;;;Гидроизоляция фундамента;
;;31051.5.1;;;Горизонтальная оклеечная гидроизоляция фундамента;м2
;;31051.5.2;;;Боковая оклеечная гидроизоляция фундамента;м2
;;31051.5.3;;;Горизонтальная обмазочная гидроизоляция фундамента;м2
;;31051.5.4;;;Боковая обмазочная гидроизоляция фундамента;м2
;;31051.5.5;;;Горизонтальная рулонная гидроизоляция фундамента;м2
;;31051.5.6;;;Боковая рулонная гидроизоляция фундамента;м2
;31051.6;;;;;
;;31051.6.1;;;Теплоизоляция фундамента;
;;;31051.6.1.1;;Пенополистирол;м3
;;;31051.6.1.2;;Экструдированый полистирол;м3
31052;;;;;       Конструкции подземной части;
;31052.1;;;;Вертикальная конструкция;
;;31052.1.1;;;Стена монолитная;м3
;;31052.1.2;;;Пилон монолитный;м3
;;31052.1.3;;;Колонна монолитная;
;;;31052.1.3.1;;Колонна монолитная круглая;м3
;;;31052.1.3.2;;Колонна монолитная прямоугольная;м3
;31052.2;;;;Горизонтальная конструкция;
;;31052.1.4;;;Перекрытие монолитное;м3
;;31052.1.5;;;Балка монолитная;м3
;;31052.1.6;;;Капитель монолитная;м3
;31052.3;;;;Лестница;
;;31052.3.1;;;Лестничный марш;м3
;;31052.3.2;;;Лестничная площадка;м3
;;31052.3.3;;;Лестничное ограждение;м
;31052.4;;;;Гидроизоляция каркаса;
;;31052.4.1;;;Горизонтальная оклеечная;м2
;;31052.4.2;;;Боковая оклеечная;м2
;;31052.4.3;;;Горизонтальная обмазочная;
;;;31052.4.3.1;;Горизонтальная обмазочная ГИ в 1 слой;м2
;;;31052.4.3.2;;Горизонтальная обмазочная ГИ в 2 слоя;м2
;;31052.4.4;;;Боковая обмазочная;
;;;31052.4.4.1;;Боковая обмазочная ГИ в 1 слой;м2
;;;31052.4.4.2;;Боковая обмазочная ГИ в 2 слоя;м2
;;31052.4.5;;;Горизонтальная рулонная;м2
;;31052.4.6;;;Боковая рулонная;м2
;31052.5;;;;Гидрошпонки, шнуры;
;;31052.5.1;;;Гидрошпонка;м
;31052.6;;;;Деформационные швы;
;;31052.6.1;;;Наружные швы;м
;;31052.6.2;;;Внутренние швы;м
;;31052.6.3;;;Деформационная изоляция - наполнение;м
;31052.7;;;;Теплоизоляция каркаса;
;;31052.7.1;;;Оклеечная теплоизоляция жесткая;м3
;;31052.7.2;;;Оклеечная теплоизоляция мягкая;м3
;31052.8;;;;Термовкладыши;
;;31052.8.1;;;Термовкладыши в перекрытии;м3
;;31052.8.2;;;Термовкладыши в стенах;м3
31053;;;;;       Конструкции надземной части;
;31053.1;;;;Монолитная вертикальная конструкция;
;;31053.1.1;;;Стена монолитная;м3
;;31053.1.2;;;Пилон монолитный;м3
;;31053.1.3;;;Колонна монолитная;
;;;31053.1.3.1;;Колонна монолитная круглая;м3
;;;31053.1.3.2;;Колонна монолитная прямоугольная;м3
;31053.2;;;;Монолитная горизонтальная конструкция;
;;31053.2.1;;;Перекрытие монолитное;м3
;;31053.2.2;;;Балка монолитная;м3
;;31053.2.3;;;Капитель монолитная;м3
;;31053.2.4;;;Парапет монолитный;м3
;;31053.2.5;;;Фундаментная плита пола паркинга;м3
;31053.3;;;;Лестница монолитная;
;;31053.3.1;;;Лестничный марш монолитный;м3
;;31053.3.2;;;Лестничная площадка монолитный;м3
;;31053.3.3;;;Лестничное ограждение металлическое на монолитной площадке;м
;31053.4;;;;Рампы, пандусы;м3
;31053.5;;;;Сборные вертикальные конструкции;
;;31053.5.1;;;Внутренняя стеновая панель;шт.
;;31053.5.2;;;Наружная стеновая панель;шт.
;;31053.5.3;;;Стеновая панель лоджии;шт.
;;31053.5.4;;;Сборная перегородка;шт.
;;31053.5.5;;;Сборная колонна;
;;;31053.5.5.1;;Сборная колонна круглая;шт.
;;;31053.5.5.2;;Сборная колонна прямоугольная;шт.
;;31053.5.6;;;Сборные вентблоки;шт.
;31053.6;;;;Сборные горизонтальные конструкции;
;;31053.6.1;;;Сборные плиты перекрытий;шт.
;;31053.6.2;;;Сборные капители;шт.
;;31053.6.3;;;Сборные балки;
;;;31053.6.3.1;;Сборные балки прямоугольные;шт.
;;;31053.6.3.2;;Сборные балки другого сечения;шт.
;;31053.6.4;;;Сборные фермы;шт.
;;31053.6.5;;;Сборные лестницы;
;;;31053.6.5.1;;Сборные лестничные марши;шт.
;;;31053.6.5.2;;Сборные лестничные площадки;шт.
;;31053.6.6;;;Сборные перемычки;шт.
;31053.7;;;;Металлические конструкции;
;;31053.7.1;;;Колонны металлические;шт.
;;31053.7.2;;;Балки металлические;шт.
;;31053.7.3;;;Фермы металлические;шт.
;;31053.7.4;;;Раскосы металлические;шт.
;;31053.7.5;;;Прогоны металлические;шт.
;;31053.7.6;;;Профнастил;м2
;;31053.7.7;;;Листы стали плоские;м2
;;31053.7.8;;;Пожарные лестницы;шт.
;;31053.7.9;;;Металлические ограждения;м
31054;;;;;       Гидроизоляция вертикальная;
;31054.1;;;;Вертикальная оклеечная гидроизоляция каркаса;м2
;31054.2;;;;Вертикальная обмазочная гидроизоляция каркаса;м2
;31054.3;;;;Вертикальная рулонная гидроизоляция каркаса;м2
31055;;;;;       Гидроизоляция горизонтальная;
;31055.1;;;;Горизонтальная оклеечная гидроизоляция каркаса;м2
;31055.2;;;;Горизонтальная обмазочная гидроизоляция каркаса;м2
;31055.3;;;;Горизонтальная рулонная гидроизоляция каркаса;м2
3106;;;;;Устройство Рампы;м3
3107;;;;;Стены и перегородки;
31071;;;;;Наружные стены;
31072;;;;;Внутренние стены и перегородки, вент.шахты;
3108;;;;;Кровля;
31081;;;;;       Конструкции кровли;
31082;;;;;       Утепление и Кровельный материал;
3109;;;;;Крыльца и входные группы (отделка, наружные и входные двери);
3110;;;;;Двери;
31101;;;;;       Противопожарные, в МОП;
31102;;;;;       Входные в квартиры и межкомнатные;
3111;;;;;Внутренние отделочные работы;
31111;;;;;       Черновая отделка техпомещений и МОП;
31112;;;;;       Черновая отделка других помещений;
31113;;;;;       Чистовая отделка техпомещений и МОП;
31114;;;;;       Чистовая отделка других помещений;
3112;;;;;Фасады;
31121;;;;;       Отделка / облицовка наружных стен;
31122;;;;;       Декоративные элементы фасадов;
31123;;;;;       Отделка цоколя;
31124;;;;;       Ограждения;
3113;;;;;Окна и витражи;
3114;;;;;Мусоропровод, площадка мусорокамеры;
3115;;;;;Эксплуатация механизмов и оборудования (башенные краны, подъемники и т.п.);
3901;;;;;Электроснабжение при эксплуатации;
3902;;;;;Водоснабжение при эксплуатации;
3903;;;;;Теплоэнергия при эксплуатации;
3904;;;;;Газоснабжение при эксплуатации;
3905;;;;;Охрана объекта при эксплуатации;
3906;;;;;Прочие расходы по эксплуатации объекта;
3907;;;;;Исправление дефектов при эксплуатации объекта;
39071;;;;;Исправление дефектов за счет виновной стороны ;
39072;;;;;Исправление дефектов за собственный счет;
;;;;;;
